assembly_accession	tax_id	tax_name	superkingdom	kingdom	phylum	class	order	family	genus	species
GCA_030064835.1	3036644	Microcoleaceae cyanobacterium MO_207.B10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	NA	NA
GCA_030064875.1	3036641	Xenococcaceae cyanobacterium MO_207.B15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	NA	NA
GCA_030064895.1	2729996	Crocosphaera sp.	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	NA
GCA_030064915.1	3036642	Xenococcaceae cyanobacterium MO_234.B1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	NA	NA
GCA_030064935.1	2729996	Crocosphaera sp.	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	NA
GCA_030064955.1	2729996	Crocosphaera sp.	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	NA
GCA_030064975.1	3036785	Pleurocapsa sp. MO_192.B19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae	Pleurocapsa	NA
GCA_030065055.1	3036784	Calothrix sp. MO_192.B10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCA_030065155.1	3036639	Xenococcaceae cyanobacterium MO_188.B29	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	NA	NA
GCA_030065175.1	3036643	Leptolyngbyaceae cyanobacterium MO_188.B28	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	NA	NA
GCA_030065205.1	2729996	Crocosphaera sp.	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	NA
GCA_030065255.1	3036782	Calothrix sp. MO_167.B42	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCA_030065265.1	2692183	Prochloraceae cyanobacterium	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochloraceae	NA	NA
GCA_030065315.1	3036637	Xenococcaceae cyanobacterium MO_167.B52	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	NA	NA
GCA_030065335.1	3030682	Nostocales cyanobacterium LE14-WE4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	NA	NA	NA
GCA_030065355.1	3030683	Nostocales cyanobacterium LE14-WE12	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	NA	NA	NA
GCA_030065375.1	3030679	Microcystis sp. M49636_WE2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065385.1	3030680	Microcystis sp. M53599_WE4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065405.1	3030681	Microcystis sp. M53601_WE4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065435.1	3030678	Microcystis sp. M53603_WE2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065455.1	3030674	Microcystis sp. M53602_WE12	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065465.1	3030676	Microcystis sp. M49637_WE12	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065495.1	3030675	Microcystis sp. M49629_WE12	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065515.1	3030673	Microcystis sp. M53600_WE12	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	NA
GCA_030065615.1	3036783	Xenococcus sp. MO_188.B8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	Xenococcus	NA
GCA_030065635.1	3036640	Xenococcaceae cyanobacterium MO_188.B32	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	NA	NA
GCA_030065675.1	3036635	Mastigocoleus sp. MO_188.B34	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Mastigocoleus	NA
GCA_030065715.1	3036638	Xenococcaceae cyanobacterium MO_188.B19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	NA	NA
GCA_030065735.1	2729996	Crocosphaera sp.	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	NA
GCA_030065755.1	2692183	Prochloraceae cyanobacterium	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochloraceae	NA	NA
GCA_030065825.1	2723028	Nostocaceae cyanobacterium	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	NA	NA
GCA_030065935.1	3036636	Xenococcaceae cyanobacterium MO_167.B27	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	NA	NA
GCA_030066035.1	3036634	Mastigocoleus sp. MO_167.B18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Mastigocoleus	NA
