assembly_accession	tax_id	tax_name	superkingdom	kingdom	phylum	class	order	family	genus	species
GCA_000312705.1	46234	Anabaena sp. 90	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	NA
GCA_000312725.1	1160282	Microcystis aeruginosa PCC 9806	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_000314005.1	1173029	Spirulina subsalsa PCC 9445	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulinaceae	Spirulina	Spirulina subsalsa
GCA_000315565.1	221288	Mastigocladopsis repens PCC 10914	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Symphyonemataceae	Mastigocladopsis	Mastigocladopsis repens
GCA_000315585.1	1174528	Fischerella sp. PCC 9339	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	NA
GCA_000316115.1	102129	Leptolyngbya sp. PCC 7375	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	NA
GCA_000316515.1	292564	Cyanobium gracile PCC 6307	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	Cyanobium gracile
GCA_000316575.1	99598	Calothrix sp. PCC 7507	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCA_000316605.1	111781	Leptolyngbya sp. PCC 7376	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	NA
GCA_000316625.1	317936	Nostoc sp. PCC 7107	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_000316645.1	28072	Nostoc sp. PCC 7524	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	NA
GCA_000316665.1	373994	Rivularia sp. PCC 7116	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Rivulariaceae	Rivularia	NA
GCA_000316685.1	195253	Synechococcus sp. PCC 6312	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_000317025.1	118163	Pleurocapsa sp. PCC 7327	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae	Pleurocapsa	NA
GCA_000317045.1	1173025	Geitlerinema sp. PCC 7407	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Coleofasciculaceae	Geitlerinema	NA
GCA_000317065.1	82654	Pseudanabaena sp. PCC 7367	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	NA
GCA_000317085.1	1173263	Synechococcus sp. PCC 7502	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_000317105.1	56110	Oscillatoria acuminata PCC 6304	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria acuminata
GCA_000317125.1	251229	Chroococcidiopsis thermalis PCC 7203	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	Chroococcidiopsis thermalis
GCA_000317145.1	1173020	Chamaesiphon minutus PCC 6605	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Chamaesiphonaceae	Chamaesiphon	Chamaesiphon minutus
GCA_000317205.1	306281	Fischerella muscicola PCC 7414	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella muscicola
GCA_000317225.1	98439	Fischerella thermalis PCC 7521	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
GCA_000317245.1	372781	Fischerella muscicola SAG 1427-1 = PCC 73103	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella muscicola
GCA_000317265.1	184925	Chlorogloeopsis fritschii PCC 9212	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Chlorogloeopsidaceae	Chlorogloeopsis	Chlorogloeopsis fritschii
GCA_000317285.1	211165	Chlorogloeopsis fritschii PCC 6912	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Chlorogloeopsidaceae	Chlorogloeopsis	Chlorogloeopsis fritschii
GCA_000317435.1	1170562	Calothrix sp. PCC 6303	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCA_000317475.1	179408	Oscillatoria nigro-viridis PCC 7112	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria nigro-viridis
GCA_000317495.1	1173022	Crinalium epipsammum PCC 9333	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Gomontiellaceae	Crinalium	Crinalium epipsammum
GCA_000317515.1	1173027	Allocoleopsis franciscana PCC 7113	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Coleofasciculaceae	Allocoleopsis	Allocoleopsis franciscana
GCA_000317535.1	56107	Cylindrospermum stagnale PCC 7417	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Cylindrospermum	Cylindrospermum stagnale
GCA_000317555.1	1173026	Gloeocapsa sp. PCC 7428	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsa	NA
GCA_000317575.1	111780	Stanieria cyanosphaera PCC 7437	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Dermocarpellaceae	Stanieria	Stanieria cyanosphaera
GCA_000317615.1	13035	Dactylococcopsis salina PCC 8305	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Dactylococcopsis	Dactylococcopsis salina
GCA_000317635.1	65093	Halothece sp. PCC 7418	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Halothece	NA
GCA_000317655.1	292563	Cyanobacterium stanieri PCC 7202	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium	Cyanobacterium stanieri
GCA_000317675.1	755178	Cyanobacterium aponinum PCC 10605	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium	Cyanobacterium aponinum
GCA_000317695.1	272123	Anabaena cylindrica PCC 7122	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena cylindrica
GCA_000330925.1	1134457	Microcystis aeruginosa TAIHU98	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_000331305.1	32057	Calothrix sp. PCC 7103	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Calotrichaceae	Calothrix	NA
GCA_000332035.1	102232	Gloeocapsa sp. PCC 73106	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Gloeocapsa	NA
GCA_000332055.1	102125	Xenococcus sp. PCC 7305	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Xenococcaceae	Xenococcus	NA
GCA_000332075.2	927677	Synechocystis sp. PCC 7509	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCA_000332095.2	1173264	Leptolyngbya sp. PCC 6406	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	NA
GCA_000332135.1	163908	Anabaena sp. PCC 7108	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	NA
GCA_000332155.1	402777	Kamptonema formosum PCC 6407	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Kamptonema	Kamptonema formosum
GCA_000332175.1	118173	Pseudanabaena sp. PCC 6802	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	NA
GCA_000332195.1	118161	Pleurocapsa sp. PCC 7319	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pleurocapsales	Hyellaceae	Pleurocapsa	NA
GCA_000332215.1	927668	Pseudanabaena biceps PCC 7429	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	Pseudanabaena biceps
GCA_000332235.1	113355	Geminocystis herdmanii PCC 6308	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Chroococcaceae	Geminocystis	Geminocystis herdmanii
GCA_000332255.1	1173021	cyanobacterium PCC 7702	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Stigonemataceae	NA	NA
GCA_000332275.1	195250	Synechococcus sp. PCC 7336	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_000332295.1	643473	Fortiea contorta PCC 7126	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Fortieaceae	Fortiea	Fortiea contorta
GCA_000332315.1	317619	Prochlorothrix hollandica PCC 9006 = CALU 1027	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Prochlorotrichaceae	Prochlorothrix	Prochlorothrix hollandica
GCA_000332335.1	1173028	Oscillatoria sp. PCC 10802	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	NA
GCA_000332355.1	102127	Baaleninema simplex PCC 7105	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Baaleninema	Baaleninema simplex
GCA_000332585.1	267865	Microcystis aeruginosa FACHB-905 = DIANCHI905	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_000340565.3	313624	Nodularia spumigena CCY9414	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Nodularia	Nodularia spumigena
GCA_000340785.1	1148	Synechocystis sp. PCC 6803	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCA_000341585.2	317619	Prochlorothrix hollandica PCC 9006 = CALU 1027	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Prochlorotrichaceae	Prochlorothrix	Prochlorothrix hollandica
GCA_000346485.2	128403	Scytonema hofmannii PCC 7110	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Scytonemataceae	Scytonema	Scytonema hofmannii
GCA_000350105.1	1165094	Richelia intracellularis HH01	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Richelia	Richelia intracellularis
GCA_000350125.1	1165095	Richelia intracellularis HM01	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Richelia	Richelia intracellularis
GCA_000353285.1	272134	Leptolyngbya boryana PCC 6306	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya boryana
GCA_000380225.1	1128427	filamentous cyanobacterium ESFC-1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	NA	NA	NA
GCA_000412595.1	482300	Microcystis aeruginosa SPC777	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_000426905.1	398007	Dolichospermum circinale AWQC131C	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	Dolichospermum circinale
GCA_000426925.1	553470	Dolichospermum circinale AWQC310F	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	Dolichospermum circinale
GCA_000447295.1	1173023	Fischerella sp. PCC 9431	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	NA
GCA_000464665.1	329553	Planktothrix agardhii NIVA-CYA 15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix agardhii
GCA_000464725.1	213631	Planktothrix agardhii NIVA-CYA 34	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix agardhii
GCA_000464745.1	545630	Planktothrix mougeotii NIVA-CYA 405	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix mougeotii
GCA_000464765.1	545626	Planktothrix prolifica NIVA-CYA 406	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix prolifica
GCA_000464785.1	1255374	Planktothrix rubescens NIVA-CYA 407	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix rubescens
GCA_000464805.1	1255359	Planktothrix prolifica NIVA-CYA 540	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix prolifica
GCA_000464825.1	329545	Planktothrix agardhii NIVA-CYA 56/3	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix agardhii
GCA_000464845.1	329562	Planktothrix prolifica NIVA-CYA 98	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix	Planktothrix prolifica
GCA_000472885.1	371196	Mastigocoleus testarum BC008	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Mastigocoleus	Mastigocoleus testarum
GCA_000473895.1	582515	Rubidibacter lacunae KORDI 51-2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Rubidibacter	Rubidibacter lacunae
GCA_000478195.2	1348334	Lyngbya aestuarii BL J	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Lyngbya	Lyngbya aestuarii
GCA_000478825.2	1147	Synechocystis sp. PCC 6714	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	NA
GCA_000482245.1	1385935	Leptolyngbya sp. Heron Island J	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	NA
GCA_000484535.1	1183438	Gloeobacter kilaueensis JS1	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter kilaueensis
GCA_000485815.1	1407650	Synechococcus sp. NKBG15041c	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_000505665.1	1394889	Thermosynechococcus sp. NK55a	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus	NA
GCA_000515235.1	110663	Synechococcus sp. CC9616	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NA
GCA_000517105.1	1173024	Fischerella sp. PCC 9605	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	NA
GCA_000521175.1	284502	Aphanizomenon flos-aquae NIES-81	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Aphanizomenon	Aphanizomenon flos-aquae
GCA_000582685.1	1469607	[Scytonema hofmanni] UTEX 2349	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Tolypothrichaceae	Tolypothrix	[Scytonema hofmanni] UTEX B 1581
GCA_000586015.1	1451353	Candidatus Synechococcus spongiarum SH4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Candidatus Synechococcus spongiarum
GCA_000599945.1	267870	Microcystis aeruginosa PCC 7005	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCA_000613065.1	1164990	Richelia intracellularis	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Richelia	NA
GCA_000633975.1	1471437	Prochlorococcus sp. scB241_526B17	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000633995.1	1471441	Prochlorococcus sp. scB241_526K3	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634015.1	1471443	Prochlorococcus sp. scB241_526N9	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634035.1	1471444	Prochlorococcus sp. scB241_527E14	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634055.1	1471451	Prochlorococcus sp. scB241_527N11	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634075.1	1471453	Prochlorococcus sp. scB241_528J14	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634095.1	1471454	Prochlorococcus sp. scB241_528J8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634115.1	1471459	Prochlorococcus sp. scB241_528O2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634135.1	1471460	Prochlorococcus sp. scB241_528P14	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634155.1	1471463	Prochlorococcus sp. scB241_529C4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634175.1	1471464	Prochlorococcus sp. scB241_529D18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634195.1	1471469	Prochlorococcus sp. scB243_495D8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634215.1	1471473	Prochlorococcus sp. scB243_495L20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634235.1	1471474	Prochlorococcus sp. scB243_495N16	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634255.1	1471478	Prochlorococcus sp. scB243_496A2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634275.1	1471485	Prochlorococcus sp. scB243_497J18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634295.1	1471487	Prochlorococcus sp. scB243_498A3	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634315.1	1471494	Prochlorococcus sp. scB243_498J20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634335.1	1471497	Prochlorococcus sp. scB243_498N4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634355.1	1471498	Prochlorococcus sp. scB243_498N8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634375.1	1471501	Prochlorococcus sp. scB245a_518A17	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634395.1	1471503	Prochlorococcus sp. scB245a_518D8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634415.1	1471509	Prochlorococcus sp. scB245a_519A13	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634435.1	1471510	Prochlorococcus sp. scB245a_519B7	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634455.1	1471517	Prochlorococcus sp. scB245a_519O21	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634475.1	1471518	Prochlorococcus sp. scB245a_520B18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634495.1	1471519	Prochlorococcus sp. scB245a_520D2	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634515.1	1471522	Prochlorococcus sp. scB245a_520K10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634535.1	1471523	Prochlorococcus sp. scB245a_520M11	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634555.2	1471524	Prochlorococcus sp. scB245a_521A19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634575.1	1471529	Prochlorococcus sp. scB245a_521N3	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634595.1	1471532	Prochlorococcus sp. scB245a_521O23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634615.1	1471438	Prochlorococcus sp. scB241_526B19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634635.1	1471439	Prochlorococcus sp. scB241_526B22	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634655.1	1471442	Prochlorococcus sp. scB241_526N5	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634675.1	1471445	Prochlorococcus sp. scB241_527E15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634695.1	1471448	Prochlorococcus sp. scB241_527L15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634715.1	1471455	Prochlorococcus sp. scB241_528K19	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634735.1	1471456	Prochlorococcus sp. scB241_528N17	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634755.1	1471457	Prochlorococcus sp. scB241_528N20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634775.1	1471458	Prochlorococcus sp. scB241_528N8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634795.1	1471466	Prochlorococcus sp. scB241_529J15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634815.1	1471470	Prochlorococcus sp. scB243_495G23	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634835.1	1471471	Prochlorococcus sp. scB243_495I8	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634855.1	1471476	Prochlorococcus sp. scB243_495N4	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634875.1	1471477	Prochlorococcus sp. scB243_495P20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634895.1	1471479	Prochlorococcus sp. scB243_496E10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634915.1	1471480	Prochlorococcus sp. scB243_496G15	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634935.1	1471484	Prochlorococcus sp. scB243_497I20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634955.1	1471486	Prochlorococcus sp. scB243_497N18	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634975.1	1471488	Prochlorococcus sp. scB243_498B22	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000634995.1	1471490	Prochlorococcus sp. scB243_498C16	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635015.1	1471493	Prochlorococcus sp. scB243_498I20	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635035.1	1471495	Prochlorococcus sp. scB243_498L10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635055.1	1471502	Prochlorococcus sp. scB245a_518A6	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635075.1	1471504	Prochlorococcus sp. scB245a_518E10	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635095.1	1471506	Prochlorococcus sp. scB245a_518J7	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635115.1	1471507	Prochlorococcus sp. scB245a_518K17	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635135.1	1471508	Prochlorococcus sp. scB245a_518O7	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
GCA_000635155.1	1471511	Prochlorococcus sp. scB245a_519C7	Bacteria	NA	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Prochlorococcus	NA
